"name","region","category","audience","positioning","core_loop","learning_format","task_types","practice","competitions","rating","projects","portfolio","ai_features","career_features","free_tier","price_snapshot","monetization","strengths","limitations","complaint_or_review_signal","retention_mechanisms","unmet_need","adapt","dont_copy","source_urls","accessed","evidence_grade"
"ChatGPT Study Mode","Global / US-origin","General-purpose AI tutor","Learners of any subject on ChatGPT plans","Interactive questioning and step-by-step support inside a general AI assistant","State goal or level; answer questions; receive scaffolded explanation; continue dialogue","Conversational tutoring with uploaded context and interactive questioning","Open-ended questions, explanations and study dialogue","partial","unknown","unknown","unknown","unknown","yes","partial","yes","Study Mode available on all plans including Free; no separate price","Bundled into ChatGPT consumer and institutional plans","Very low friction, broad subject coverage and adaptive dialogue","Can make mistakes, give direct answers and lacks independent assessment validity; exact behavior is model-dependent","Official FAQ acknowledges limitations; no independent complaint sample reviewed","Conversation history, general account use and personalized dialogue; no learning-specific retention loop proven","Grounding in task rubric, hint dependency controls and verifiable mastery","Ask level, use questions and reveal help progressively","Letting the tutor write a summative answer or treating satisfaction as learning","https://openai.com/index/chatgpt-study-mode/ ; https://help.openai.com/en/articles/11780217-chatgpt-study-mode-faq","2026-07-20","A for official availability and self-disclosed limitations; learning effect unknown"
"Credly","Global / US-origin","Digital credential infrastructure","Credential issuers, earners and employers","Portable verified digital badges and profiles connecting issuers, earners and verifiers","Issue portable badge with criteria and metadata; earner accepts and shares; verifier checks","Credential issuance, verification, profile and sharing","Badge criteria and evidence metadata; no learning tasks","unknown","unknown","unknown","unknown","yes","unknown","yes","yes: for earner","Earner verification $0; issuer pricing custom or quote","Issuer contracts and enterprise credential services","Portable verification metadata, profile and established credential rail","Credential validates issuer assertion, not underlying task quality or authorship","unknown; no independent complaint sample reviewed","Stackable badges, public profile, sharing, expiration or revocation","Transparent underlying assessment and evidence artifact","Stable verification URL, criteria, evidence and revocation metadata","Badge without a valid task, rubric or issuer accountability","https://info.credly.com/ ; https://support.credly.com/hc/en-us/articles/5079101828891-Credly-FAQ-s","2026-07-20","A for official credential mechanics; M for network or value claims; issuer price unknown"
"Accredible","Global / US-origin","Digital credential infrastructure","Education providers, universities and credential recipients","Verifiable digital credentials and pathways for education providers","Provider issues verifiable credential; recipient shares; pathway links credentials; verifier checks","Credential issuance, pathways, verification and integrations","Credential metadata; no direct learning tasks","unknown","unknown","unknown","unknown","yes","unknown","yes","yes: for recipient","Launch from $45/month USD, 12-month term and 50 recipients","B2B credential subscription tiers","Clear starting price, verifiable credentials, pathways and integrations","Does not create learning or validate the underlying assessment by itself","unknown; no independent complaint sample reviewed","Credential pathways, sharing, renewal and visible profile","Underlying artifact validity, authorship and reviewer calibration","Versioned credential, criteria, pathway and verification link","Completion badge presented as skill without task-level evidence","https://www.accredible.com/pricing ; https://www.accredible.com/solutions/higher-education","2026-07-20","A for live starting price and credential functions; M for outcome claims"
"Stepik","Russia / global","Course marketplace and authoring platform","Self-learners, students, teachers and course authors","Russian-language catalog with auto-graded lessons, certificates and creator monetization","Choose course; complete lesson and auto-check; progress to certificate","Text, video, quizzes, code tasks and instructor-authored courses","Quizzes, programming, SQL and course-specific assignments","yes","unknown","unknown","partial","partial: certificates and public progress, not verified project provenance","unknown","partial: many career-oriented courses; no platform placement guarantee","yes","Free and paid courses; price is course-specific and dynamic","Paid course revenue share and creator marketplace","Large Russian-language long tail, author ecosystem and familiar auto-grading","Quality and project depth vary by author; no unified Arena-to-project pathway","unknown; no independent complaint sample reviewed","Course progress, deadlines, certificates, instructor communication and catalog discovery","Consistent quality control, beginner-to-competition path and stronger artifact verification","Auto-grading, teacher authoring and free discovery layer","Fragmented catalog or certificate treated as platform-wide mastery","https://stepik.org/catalog/56?free=true ; https://support.stepik.org/hc/en-us/articles/360000251133 ; https://help.stepik.org/article/54755","2026-07-20","A for functions and price model; C for marketplace scale or outcome claims"
"Yandex Practicum","Russia","Career education","Adult career switchers and working learners","Long project-based data science career program with mentors, reviewers and career support","Free introduction; structured program; projects; reviewer feedback; portfolio and career support","Interactive textbook, guided lessons, projects, mentor and reviewer support","Coding, data analysis, ML projects and career assignments","yes","unknown","unknown","yes","yes","unknown","yes","yes: introductory module","Current comparable full Data Scientist price unknown; promotional installment is not treated as total price","B2C tuition and B2B employee training","Strong Russian brand, human feedback, substantial projects and career narrative","Long duration and workload; published outcome claims are not independent evidence; current total price unavailable","unknown; no independent complaint sample reviewed","Cohort schedule, mentor support, project review, milestones and career services","Shorter time-to-value and lower-cost evidence for school or university beginners","Review-resubmit, project milestones and transparent workload","Thirteen-month commitment or career promise without audited cohort definitions","https://practicum.yandex.ru/data-scientist/ ; https://practicum.yandex.ru/catalog/data-science/ ; https://practicum.yandex.ru/b2b/employees/","2026-07-20","A for published functions; C for outcomes; current full price unknown"
"Skillbox","Russia","Career course marketplace","Adult beginners and career switchers","Broad profession catalog with practice, portfolio projects and career center","Enroll in profession; study modules; complete projects; use career services","Recorded lessons, assignments, projects and mentor or career support","Data science coursework and portfolio projects","yes","unknown","unknown","yes","yes","unknown","yes","unknown","Current stable full price unknown; sale page not used as a current price","B2C course tuition and B2B education","Brand reach, performance marketing, broad product line and career packaging","Sale-led pricing and outcome claims are hard to compare; long catalog can obscure mastery","unknown; no independent complaint sample reviewed","Program milestones, projects, support and career center","Transparent diagnostic, shorter modules and evidence-based mastery","Clear profession framing and portfolio milestones","Discount anchor or career-help language as proof of employment outcome","https://skillbox.ru/course/profession-data-scientist/","2026-07-20","A for live page and stated functions; C for career and quality claims; price unknown"
"Netology","Russia","Cohort career education","Adult beginners and career switchers","Long webinar-based data science program with practice, projects and career support","Join cohort; attend theory or webinar; complete practice and projects; receive support and career services","Webinars, theory, assignments, partner projects and consultations","Data science exercises and projects","yes","unknown","unknown","yes","yes","unknown","yes","unknown","Observed 150,400 RUB and 4,640 RUB/month promotion expired before cutoff; not a current price","B2C course tuition and corporate education","Cohort structure, mentors, substantial stated practice and career package","Eighteen-month commitment; expired promotion cannot anchor price; outcomes are provider claims","unknown; no independent complaint sample reviewed","Cohort calendar, webinars, consultations, projects and career milestones","Modular purchase, fast diagnostic and auditable learning evidence","Cohort accountability and project support","Expired promotional price or hours of practice as proof of learning","https://netology.ru/programs/prodatascience","2026-07-20","A for dated page features; C for outcomes; current price unknown"
"Open Data Science / ODS.ai","Russia / global","ML community and open learning ecosystem","Motivated data science and ML learners and practitioners","Community-led tracks, competitions, projects, events and jobs","Join track or hub; learn; participate in project or competition; contribute and use community or jobs","Open tracks, community cohorts, competitions, projects, events and hubs","Classic ML, NLP, LLM and product tasks","yes","yes","partial","yes","partial: public community work and profile","unknown","yes","partial: open access visible; fully free not established for every service","Exact monetization and prices unknown","Community, partnerships, events, jobs and possible paid programs; exact mix unknown","Strong professional legitimacy, active Russian ML community and authentic peer context","High self-direction and baseline skill; monetization and quality controls are not fully documented","unknown; no independent complaint sample reviewed","Cohorts, tracks, hubs, competitions, projects, events, contribution and jobs","Zero-to-ODS bridge for school learners with safer scaffolding and assessment","Community contribution, practitioner projects and track cohorts","Assuming community reputation or participation equals beginner mastery","https://ods.ai/ ; https://ods.ai/tracks ; https://mlcourse.ai/","2026-07-20","A for observed functions; C for scale and quality claims; monetization unknown"
"Yandex Textbook","Russia","K-12 classroom learning platform","Students in grades 5-11, vocational learners and teachers","Free classroom assignments, auto-checking and teacher analytics for informatics and Python","Teacher creates class and assignment; learner solves; system auto-checks; teacher reviews statistics","Browser lessons, exercises, class assignments, analytics and AI assistance","Informatics, Python, exam preparation and vocational exercises","yes","unknown","unknown","partial","unknown","yes","partial","yes","Core product stated free","Subsidized ecosystem, partnerships and institutional distribution","Free school distribution, established teacher workflow, analytics and AI or anti-copy features","Designed around assigned practice rather than cross-school authentic data projects or verified portfolio","unknown; no independent complaint sample reviewed","Teacher assignments, progress statistics, classroom cadence and exam goals","Inter-school team AI competition and reproducible data project","Fast class setup, teacher preview, auto-check and misconception reporting","Building a second generic LMS or using logins as learning evidence","https://education.yandex.ru/uchebnik/main/index ; https://education.yandex.ru/instructions/ru/teachers-concepts/start ; https://education.yandex.ru/instructions/ru/teachers-concepts/gradebook.html ; https://education.yandex.ru/uchebnik/project/spo","2026-07-20","A for official functions and stated free core; learning effect unknown"
"Yandex Academy Lyceum","Russia","Selective youth coding education","Learners age 13-20","Free selective annual programming and data programs with projects and certificates","Apply and pass selection; attend annual program or specialization; complete tests and project; earn certificate","Instructor-led classes, self-study specializations, tests, debugging and projects","Python, Go, ML and data-analysis tasks","yes","unknown","unknown","yes","partial: projects and certificate","unknown","partial: pathway and brand signal, not placement","yes","Stated free; annual Python intake closed at access date","Yandex-funded education and talent ecosystem","Strong brand, selective signal, free access and substantive workload","Selection excludes many beginners; annual schedule delays entry; access depends on intake","unknown; no independent complaint sample reviewed","Selection, cohort schedule, projects, certificate and community","Immediate browser-first access without selection and low-stakes competition","Authentic projects, clear workload and instructor cohort","Selectivity or brand treated as proof that all learners gained mastery","https://lyceum.yandex.ru/ ; https://lyceum.yandex.ru/python","2026-07-20","A for official eligibility, format and free claim; outcome effect unknown"
"Foxford","Russia","Paid K-12 tutoring and coding courses","School students and parents","Teacher-led Python programs with schedule, team projects and certificate","Parent selects package; learner attends lessons; completes practice and project; receives certificate","Live or scheduled lessons, teacher support, coding practice and team projects","Python exercises and projects","yes","unknown","unknown","yes","yes","unknown","unknown","unknown","Programming packages from 2,390 RUB/month; exact total depends on package","B2C packages and broader school subscriptions","Parent acquisition channel, teacher trust, schedule and visible projects","Price varies by package; provider reviews and outcomes are not independent evidence; no competition rating layer confirmed","Official marketing reviews are C-grade; no independent complaint sample reviewed","Schedule, teacher relationship, projects, certificate and parent-visible progress","Peer competition and transparent mastery evidence with faster time-to-value","Teacher trust, scheduled cohort and team project","Marketing reviews, package installment or certificate as proof of mastery","https://foxford.ru/programming/python ; https://foxford.ru/programming/packs","2026-07-20","A for live price and functions; C for reviews or outcomes"
"Uchi.ru","Russia","Gamified K-9 learning platform","Primary and middle-school learners, parents and schools","Game-like programming and logic exercises with immediate feedback","Open exercise or game; solve; receive immediate feedback; repeat and progress toward Python","Interactive game tasks, short exercises and subscription course","Logic, loops, programming puzzles and introductory Python","yes","partial","unknown","unknown","unknown","unknown","unknown","yes: some exercises","Some exercises free; expanded subscription exists; current numeric price unknown","B2C subscription and school partnerships","Strong younger-learner habit, low-friction game UX and parent familiarity","Puzzle play may not transfer to real code or data; current price and independent learning outcomes are unknown","Official marketing reviews are C-grade; no independent complaint sample reviewed","Game progression, instant feedback, repeated exercises and subscription path","Bridge from puzzle play to real code, data artifact and explainable skill","Immediate feedback and age-appropriate interactive tasks","Activity, points or puzzle completion as real coding competence","https://uchi.ru/products/courses/course-programming ; https://uchi.ru/products/games/programming ; https://subjects.uchi.ru/courses/programming ; https://itworld.uchi.ru/","2026-07-20","A for observed functions; C for catalog and review claims; price unknown"
"Sirius","Russia","Selective olympiad and intensive education","Strong school students, including AI and informatics cohorts","Prestigious selection into intensive programs and authentic olympiad tasks","Qualify or be invited; attend intensive; solve timed authentic tasks; receive result","In-person or organized intensives and timed tasks","Informatics and AI olympiad problems","yes","yes","partial","unknown","partial: official participation or result","unknown","unknown","unknown","Participant price not stated on checked pages","Public or partner-funded education programs","Prestige, authentic tasks, expert authors and strong selection signal","High entry threshold and episodic intake; not a mass zero-to-first-task path","unknown; no independent complaint sample reviewed","Selection, scheduled intensive, timed tasks and prestige","Mass preparatory ladder before selection with diagnostic feedback","Authentic task calibration and expert editorial","Prestige or selection result as a general mastery model for beginners","https://siriusolymp.ru/invite2026/ai ; https://sochisirius.ru/obuchenie/nauka/smena2298/10818","2026-07-20","A for official tasks, criteria and dates; price and learning effect unknown"
"All-Russian AI Olympiad","Russia","National school AI olympiad","Students in grades 8-11","Federal staged AI competition with learning materials, proctored ML round and final","Study or register; online selection; proctored ML round; final; results","Online learning materials and multi-stage timed competition","AI theory and ML competition tasks","yes","yes","partial","partial: ML problem work","partial: official result, not a general portfolio","unknown","unknown","unknown","Participant price not stated; free participation not asserted without a direct term","Government and university-partner funded competition","Official status, national reach, authentic ML and university-authored tasks","Highly selective and seasonal; no continuous beginner learning loop","unknown; no independent complaint sample reviewed","Stages, qualification thresholds, proctoring, final and official recognition","Year-round beginner preparation and safe team practice","Stage-based authentic assessment and archived materials","Promising olympiad outcomes or copying a high-stakes proctored model into daily learning","https://ai.edu.gov.ru/ ; https://ai.edu.gov.ru/news/start2026 ; https://ai.edu.gov.ru/materials","2026-07-20","A for official rules and materials; C for scale claims; price unknown"
"VsOS / olimpiada.ru AI pathway","Russia","Official olympiad infrastructure","Olympiad students in grades 4-11","Calendar, archives, tasks, scoring and progression for official or invitational stages","Find event; solve timed tasks; receive score and advancement result; review archive","Timed rounds, task PDFs, archive and results","AI and programming olympiad tasks","yes","yes","partial","unknown","partial: official result","unknown","unknown","unknown","Public competition access visible; participant price not stated","Public education and olympiad administration","Official pipeline, authentic benchmark and longitudinal archive","High-stakes format lacks beginner scaffolding and frequent low-stakes feedback","unknown; no independent complaint sample reviewed","Calendar, rounds, advancement, results and annual prestige","Scaffolded lesson-to-task bridge and practice variants","Versioned authentic tasks, post-window editorial and calibration","Official status or stage score as evidence of broad transferable ML skill","https://olimpiada.ru/news/34132 ; https://vos.olimpiada.ru/2026/invite ; https://vos.olimpiada.ru/upload/files/Arhive_tasks/2025-26/reg/ai/tasks-ai-9-11-tur1-reg-25-26.pdf","2026-07-20","A for official calendar, tasks and results; price unknown"
"AI Challenge","International / Russia-origin","Youth AI competition","Children, school students and university students","Level-based AI competition using partner tasks and leaderboard or final","Choose level; solve partner AI task; submit; enter leaderboard and final","Competition tracks, partner problems and staged finals","AI and data tasks by age or level","yes","yes","yes","yes","partial","unknown","partial: industry tasks and visibility","unknown","Current participation price unknown","Partner sponsorship and event ecosystem; exact model unknown","Already combines youth, AI, industry task and international competition","Annual cadence and high-stakes event do not provide continuous beginner learning; impact claims are marketing evidence","unknown; no independent complaint sample reviewed","Levels, leaderboard, finals, partner tasks and event prestige","Continuous low-stakes learning and more frequent matched cohorts","Age bands, partner tasks and post-event progression","Annual event participation or leaderboard as verified broad skill","https://aiijc.com/","2026-07-20","A for official format; C for impact or scale claims; price unknown"
"Codeforces","Global / Russia-origin","Competitive programming","Algorithmic programmers from beginners to experts","Frequent free contests, rating, editorials and large public archive","Enter contest; solve and submit; receive verdict and rating; read editorial; replay virtually","Timed contests, problem archive, virtual participation and discussion","Algorithms and data structures","yes","yes","yes","unknown","partial: public profile and contest history","unknown","partial: reputation signal, not hiring service","yes","Contest and archive access $0","Sponsorship, ecosystem and community; participant access free","Liquid rating, frequent events, divisions, archive and prestige","Algorithmic score is not ML or project mastery; public competition can discourage novices","unknown; no independent complaint sample reviewed","Frequent contests, rating, divisions, virtual replay, editorials, tags and community","Beginner scaffolding, AI or data tasks, team learning and artifacts","Stable judge, divisions, virtual replay and editorial after contest","Global rating as school grade or transferable professional skill","https://codeforces.com/help ; https://codeforces.com/contests/?locale=en ; https://codeforces.com/problemset?lang=en&locale=en","2026-07-20","A for official mechanics and free access; learning or career effect unknown"
"Eolymp","Ukraine / global","Programming practice and competition","Programming beginners and olympiad learners","Problemset and courses with submissions, rated rounds and reward currency","Choose problem or course; submit; gain points or rating; join Blitz; earn Mints","Problems, courses, contests and gamified rewards","Programming and algorithmic tasks","yes","yes","yes","unknown","partial: public rating and activity","unknown","unknown","partial: base public access visible","Full pricing audit not completed; current price unknown","Subscription or platform services may exist; exact monetization unknown","Beginner contests, task-rating-reward loop and course layer","AI or ML artifacts absent from checked evidence; reward currency can diverge from learning","unknown; no independent complaint sample reviewed","Ratings, Blitz contests, Mints, store rewards, course progress and contribution","Learning-outcome guardrails and authentic AI or ML workflows","Beginner rounds, stable submissions and separate activity rewards","Spendable reward or rating treated as mastery","https://eolymp.com/ ; https://eolymp.com/en/problems ; https://eolymp.com/ka/posts/40m96umv195q1eurr1k9bb1jq8 ; https://eolymp.com/en/contests/tjhj0o6ob54rp5sgim74gibrrg","2026-07-20","A for observed mechanics; pricing and outcome evidence unknown"
"Yandex Contest","Russia / global","Contest and assessment infrastructure","Schools, universities, employers and competition organizers","Create test or contest; participants submit; system scores and reports results","Organizer builds event; participant solves in window; judge scores; archive may support practice","Timed individual or team contests, problemsets and automated judging","Programming and assessment tasks","yes","yes","partial","unknown","unknown","unknown","partial: used in selection; no direct placement claim","unknown","Participant price and organizer pricing not investigated","Yandex ecosystem and organizer services; exact pricing unknown","Established infrastructure, broad institutional use and team support","It is a judge rather than a complete beginner curriculum, community or portfolio system","unknown; no independent complaint sample reviewed","Scheduled events, results, archive and organizer-created cohorts","Pedagogy, beginner path and meaningful community above the judge","Reliable contest engine, team mode and explicit result states","Building only infrastructure or treating raw contest score as mastery","https://contest.yandex.ru/docs/ru/ ; https://contest.yandex.ru/?lang=ru","2026-07-20","A for official documentation and functions; price and outcomes unknown"
"Yandex Cup","Russia / global","Employer-branded technical competition","Junior and professional developers, analysts and ML practitioners","Multi-track qualification and rounds with ratings, prizes, certificates and interview path","Register; qualify; complete rounds; receive rank or prize; access career opportunity","Timed technical tracks with rules and finals","Backend, frontend, mobile, algorithms, analytics, ML and junior tasks","yes","yes","yes","partial","partial: certificate and public result","unknown","yes","unknown","Participation price not stated; prize fund is not price","Employer branding, sponsorship and talent acquisition","Direct employer brand, multiple tracks, prize and interview linkage","Seasonal high-stakes competition; application counts and hiring effects are marketing signals","unknown; no independent complaint sample reviewed","Qualification, rounds, rank, prizes, certificates, finals and interview opportunity","Daily beginner preparation and mastery before cup readiness","Track-specific employer tasks and transparent event rules","Prize or interview path as a guaranteed career outcome","https://yandex.ru/cup/ ; https://yandex.ru/cup/rules","2026-07-20","A for official rules and functions; C for application or impact claims; price unknown"
"Datawhale","China","Open AI and data learning community","Self-learners in data science, ML and AI, including youth audiences","Open-source roadmaps, cohorts, camps, projects and contests built by a contributor community","Choose roadmap; join cohort or camp; learn; build project or enter contest; contribute","Open learning paths, cohort camps, projects, contests and GitHub collaboration","Data science, CV, NLP, recommenders and AI literacy tasks","yes","yes","unknown","yes","yes","unknown","partial","yes: organization states materials are open","Materials stated open; partner services not investigated","Community, partnerships and open-source contribution; exact monetization unknown","Open Chinese curriculum, active community and participant contribution","Quality, scale and outcomes are not independently established; assessment validity is unclear","unknown; no independent complaint sample reviewed","Cohorts, camps, contests, projects, community and contribution","Localized school-safe assessment and verified progress beyond resource graph","Open roadmap, cohort contribution and learner-to-contributor path","Community participation or GitHub visibility as independent mastery","https://www.datawhale.cn/ ; https://www.datawhale.cn/static/about/index.html ; https://www.datawhale.cn/learn ; https://github.com/datawhalechina","2026-07-20","A for official structure and open-material claim; C for scale claims"
"Alibaba Tianchi","China","AI and data competition ecosystem","Students, data scientists, ML practitioners and company sponsors","Courses, datasets, notebook compute and competitions inside Alibaba ecosystem","Learn from knowledge tree; open dataset or notebook; build baseline; submit to competition; publish artifact","Courses, datasets, cloud notebooks, competitions and publication","Python, mathematics, CV, LLM, agents and data-science competition tasks","yes","yes","yes","yes","yes","partial: AI ecosystem tools; no pedagogical tutor confirmed","partial: sponsor visibility and competition signal","partial: public access visible","Current compute quotas and paid pricing unknown","Alibaba ecosystem, sponsored competitions and cloud or platform value","Integrated course-data-compute-competition-publication loop","Chinese-language and ecosystem dependency; beginner safety and current quotas or pricing are unclear","unknown; no independent complaint sample reviewed","Knowledge tree, competitions, leaderboards, notebooks, datasets and publication","Simpler novice UX, school safety and provider-neutral evidence","Course-to-notebook-to-submission loop and reproducible public work","Ecosystem lock-in or leaderboard score as full competency","https://tianchi.aliyun.com/ ; https://s.tianchi.aliyun.com/course/ ; https://tianchi.aliyun.com/course/274 ; https://tianchi.aliyun.com/dataset/official ; https://tianchi.aliyun.com/specials/promotion/about","2026-07-20","A for observed official functions; C for scale; pricing unknown"
"Baidu PaddlePaddle AI Studio","China","AI learning and cloud development ecosystem","AI learners and developers","One-stop courses, data, notebooks or VSCode, competitions and deployment in PaddlePaddle ecosystem","Choose course, model or dataset; work in cloud environment; enter competition; earn points or deploy","Courses, notebooks, VSCode, datasets, models, competitions and deployment","AI coding, model training, datasets and competition tasks","yes","yes","yes","yes","yes","unknown","partial","unknown","Current GPU quotas and pricing unknown; 2019 free-GPU promise not carried into 2026","Baidu cloud and PaddlePaddle ecosystem value; exact learner monetization unknown","Compute and model ecosystem embedded in learning and competition","Provider lock-in; current resource limits and assessment validity unclear","unknown; no independent complaint sample reviewed","Courses, points, honors, competitions, projects and deployment","Provider-neutral pedagogy, transparent quotas and explainable assessment","Browser compute, model or dataset reuse and deployment path","Historical free-compute claim as current or points as skill","https://ai.baidu.com/ai-doc/AISTUDIO/Tk39ty6ho ; https://ai.baidu.com/ai-doc/AISTUDIO/","2026-07-20","A for official functions; historical price evidence excluded; current price unknown"
"DACON","South Korea","Data competition and PBL platform","Students, data scientists and jobseekers","National data competitions, projects and certificates with occasional hiring benefits","Join competition or project; work with team and data; submit; receive leaderboard result and certificate or benefit","Competitions, hackathons, PBL content and projects","Data science, ML and hackathon tasks","yes","yes","yes","yes","yes","unknown","yes","unknown","Participation or premium price not confirmed","Sponsored competitions, projects and hiring partnerships; exact model unknown","Competition hub with XP, projects, certificates and career linkage","Aggregate scale and hiring outcomes are marketing claims; full free access and pricing are unclear","unknown; no independent complaint sample reviewed","XP, leaderboards, projects, certificates, teams and hiring benefits","Earlier beginner scaffolding and independent skill validation","Project-based competition, certificate criteria and employer challenge","Certificate or hiring benefit as guaranteed employability","https://dacon.io/en ; https://dacon.io/en/competitions ; https://dacon.io/en/competitions/official/236198/overview/prize","2026-07-20","A for official format; C for aggregate counts and career outcomes; price unknown"
"SIGNATE","Japan","AI and data challenges with career linkage","Data scientists, students and job candidates","Challenges produce scores, ranks and skill proof connected to internships or recruiting","Enter challenge; submit; receive score and rank; expose skill proof; use career channel","Data competitions, challenges and skill assessments","AI and data-science challenge tasks","yes","yes","yes","partial","yes","unknown","yes","unknown","Current participant price not confirmed","Sponsored challenges, recruiting and enterprise services; exact pricing unknown","Employer-backed challenges and locally recognized skill proof","Foundational teaching is limited; scale and hiring effect are provider claims","unknown; no independent complaint sample reviewed","Challenges, ranks, competition seasons, skill proof and recruiting opportunities","Foundational learning before challenge and cross-region calibration","Employer-authored work sample and explicit skill proof","Rank or internship information as evidence of predictive validity","https://signate.jp/about?rf=competition_competitions_450 ; https://signate.jp/competitions/1376","2026-07-20","A for official challenge and career functions; C for scale; price unknown"
"AtCoder","Japan / global","Competitive programming","Algorithmic programmers from beginner to expert","Regular Beginner, Regular, Grand, Heuristic and weekday contests with separate ratings","Register; solve in contest; submit; receive result and rating; practice archive","Timed contests, problem archive and practice","Algorithms, programming and heuristic optimization","yes","yes","yes","unknown","partial: public profile and rating","unknown","partial: reputation signal; no placement service confirmed","unknown","Participant price not stated on checked pages","Sponsorship and platform ecosystem; exact monetization unknown","Regular cadence, strong rating, beginner brand and large archive","Algorithmic rating does not measure ML project or collaboration skill","unknown; no independent complaint sample reviewed","Frequent contests, multiple rating ladders, archive and prestige","AI or data task path, classroom teams and guided mastery","Multiple contest levels and stable rating separation","Algorithmic rating as universal technical or school achievement","https://atcoder.jp/ ; https://atcoder.jp/contests/","2026-07-20","A for official contest formats and ratings; price and outcomes unknown"
"paiza Learning","Japan","Coding learning, skill check and recruiting","Coding beginners, students and jobseekers","Low-price lessons and skill checks whose rank can unlock job applications","Watch or read lesson; solve exercise; take skill check; earn rank or certificate; view jobs","Video, exercises, skill checks, courses and school program","Python, SQL and other programming tasks","yes","partial","yes","partial","yes","unknown","yes","yes","Paid plan 980 JPY/month; school regular plan 1,490 JPY/month provided free through school program","B2C subscription, school distribution and recruiting services","Transparent price, immediate coding, large free exercise layer and rank-to-job loop","Vendor rank predictive validity and job outcome are not established by feature pages","unknown; no independent complaint sample reviewed","Skill checks, D-to-B ranks, certificates, course progress and job unlocks","AI or ML project validity, team work and external calibration","Low-cost skill check, clear rank criteria and school access","Rank or job unlock as proof of on-job performance","https://paiza.jp/works/skillcheck/primer ; https://paiza.jp/works/paid_plan_lp/settlement ; https://paiza.jp/works/courses ; https://paiza.jp/pages/works/free-pass","2026-07-20","A for official price and functions; C for scale or school reach claims"
"Analytics Vidhya DataHack","India / global","Data learning, competitions and hiring hackathons","Beginner analysts, data scientists and jobseekers","Free learning path plus frequent skill tests, hackathons, portfolio projects and jobathons","Follow learning path; complete daily test or project; enter hackathon; receive leaderboard or certificate; access hiring event","Courses, daily tests, projects, competitions and hiring hackathons","Data analysis, ML, notebooks and competition submissions","yes","yes","yes","yes","yes","unknown","yes","partial: specified beginner path free","Specified 30-hour beginner data-science path $0; other programs not generalized","Courses, sponsored competitions, advertising and recruiting events","Frequent competitions, beginner entry, portfolio projects and hiring linkage","Audience, event and hiring counts are marketing claims; quality and authorship validity are unclear","unknown; no independent complaint sample reviewed","Daily tests, hackathons, leaderboards, certificates, projects and jobathons","Younger learner safety, Russian localization and stronger mastery validation","Frequent low-stakes skill tests to competition and project","Hiring event or certificate as guaranteed career outcome","https://www.analyticsvidhya.com/datahack/ ; https://www.analyticsvidhya.com/courses/learning-path/data-science-program/ ; https://www.analyticsvidhya.com/datahack/contest/data-scientist-skill-test/","2026-07-20","A for official functions and selected free path; C for scale or outcome claims"
"HackerEarth","India / global","Hackathons and technical hiring","Developers, job candidates, teams and employers","Employer-branded hackathon or hiring challenge produces code or prototype and shortlist","Join challenge; solve or build in team; submit code or prototype; receive score or shortlist","Hackathons, hiring challenges, coding tasks and prototype projects","Programming assessments, team prototypes and employer challenges","yes","yes","partial","yes","partial","unknown","yes","unknown","Candidate price and B2B pricing unknown","Employer assessment, hiring and sponsored hackathon contracts","Employer distribution, team events and prototype workflow","Focused on assessment or event rather than beginner learning; validity and pricing are not public","unknown; no independent complaint sample reviewed","Scheduled challenges, teams, leaderboard or shortlist and employer brand","Learning-before-assessment, school safety and explainable progression","Employer task, team prototype and structured challenge","Employer logo or event result as a job guarantee","https://help.hackerearth.com/hackathons-and-hiring-challenges ; https://www.hackerearth.com/challenges/","2026-07-20","A for official challenge formats; pricing and outcome evidence unknown"
"GeeksforGeeks","India / global","Technical content, courses and interview preparation","Students, developers and jobseekers","Large SEO-driven tutorial and course catalog connected to practice, contests and interview preparation","Search concept; read tutorial or enroll; solve practice; complete course or contest; prepare for interview","Articles, self-paced or live courses, coding practice, projects and contests","Programming, DSA, SQL, data science and interview tasks","yes","yes","partial","yes","partial","unknown","yes","partial: broad free content","Dynamic course prices not treated as current; numeric price unknown","Advertising, paid courses, subscriptions and recruiting ecosystem","Huge discoverability, topic breadth and interview intent","Fragmented content and marketing-led course claims; coherent mastery and project validity are unclear","unknown; no independent complaint sample reviewed","Search discovery, streak or progress, practice, contests, courses and interview goals","Curated competency path, pedagogy and verified artifact","SEO-friendly reference connected to practice and project","Catalog size, hours or course certificate as job readiness","https://www.geeksforgeeks.org/courses/search?query=Data+Science ; https://www.geeksforgeeks.org/courses/full-stack-applied-data-science-program","2026-07-20","A for published functions; C for quality or outcome claims; current price unknown"
